,id,name,platform,cate,publish_date,contract
55,12523,Dapp Investor,tron,risk,2020-06-05,"['TF5FddPTQ5H2xFNsR479XWDsxQ7cWvDP4M', 'TFZza2MB3uLKEEgipV6Hjcpzzepy4ecVNu']"
56,830,Fomo3D,eth,risk,2020-06-05,"['0xc7029Ed9EBa97A096e72607f4340c34049C7AF48', '0xD60d353610D9a5Ca478769D371b53CEfAA7B6E4c', '0xA62142888ABa8370742bE823c1782D17A0389Da1', '0x4e8ecF79AdE5e2C49B9e30D795517A81e0Bf00B8', '0xdd4950F977EE28D2C132f1353D1595035Db444EE']"
57,12188,King Token (KGT),tron,risk,2020-06-05,"['TQF2oSSqmN9KCbNqw43gEovCw11xkbwK5k', 'TPJ5xSYhbMf77oegALChHAzUtWdry9arcH', 'TKs7Bkbh9tXyTdAKfSni5nnPRTcgLu7XWf', 'TAeYCbGg6y6Tt5G7yxwXqcxNuqCdUSCK7H', 'TAy2Td3ppLwQe2Att8AuLNob3HRoifMrd4', 'TMCaW2eKVxbgjRozDNo1jSEUMZYvq7S716', 'TEZ1zACsvpYbMVXo5HuPYumKxmtXagQmQZ']"
58,11472,Gako Binary Option,eos,risk,2020-06-05,"['TFgnfZMSJpjsmZzuMnP4u5ZDbqpPNNqHw3', 'roulettefees', 'gakomainnet2', 'TXSjGe7jtfHwiTFxxfER8PKVz9vc1N8u2x', 'gakotokennnn', 'gakomainnet1', 'gakomainnet3']"
59,12414,EtherHives,eth,risk,2020-06-05,"['0x1C637AFa00559900bfb3Eb58aE26EAB38449EAc4', '0xF4106E7cE40b41976AC8F198bda2c51Afa943784']"
60,11904,Lucky Network,tron,risk,2020-06-05,"['TMPXZcqjb4M38Uhi9CamYrPTtsgb8gDN5f', 'TFtgyrZJ238XDxpN8w8v8enee1fvNCU7HD', 'TAoErUyMcUG3AXknkCWKo4FvcoRTMkf1Vp', 'TY3foCGUcyR1orp4H9FWgzgcqqtMVhdqEb', 'TYPckEpk6dGF54KbULk3xcX4ELEiVtVF6q', '0x65e68B87F1380B92692f7Af47CbeFf917eE27A16', 'TJLwvP6kKNKjEij6qxmFgJ54bsKqcDyKQd', 'TMfwh2FbGad1ofpr93ktxeyAj2utypJdJ5', 'TRsyiZm4pVCMbVufSEfU2Su49gY5pxmLPT', 'TS7BX28pnEmnt6z6ipqnoYZingA1sAkrCS', 'TVmnQdZF9Z4j7W56umoJKNAWWCGYaUCykS']"
61,11386,TronFund,tron,risk,2020-06-05,['TNGqUiKycPN6tGpDp1nyrqYVj4yYcynw1z']
62,10367,P3T.NETWORK(closed),tron,risk,2020-06-05,['TEEEQGmbZoeHA24EVG91b6u9zsbWUfefPF']
63,11277,TCH5,tron,risk,2020-06-05,"['TED3xqMYFsQjpxcDDy82Aj27tA5QQfhLde', 'TY7qBmP7mFDGCh6tsBtBkH5EeMaL9DUHsm']"
64,12670,Ovirus,tron,risk,2020-06-05,['TJSF4iVkzkRkYwEVNkqJkeGDaZpnFbGy9x']
65,12351,TronLoot,tron,risk,2020-06-05,['T9zM3QLAH9VkS6btHq2uHCPNsr4ZYPbYzV']
66,11266,Tron Double - Doo,tron,risk,2020-06-05,['TRh3QviVDbrrgunGrY2UEACnEPHt8bSKAV']
67,11257,Tronopoly,tron,risk,2020-06-05,['TWGScvbS52BjAiSfZ6F7ankhVT3QqWyt7f']
68,11027,Tron Double,tron,risk,2020-06-05,"['TCe5cauDU5KDWmDVSWXLAZ3CWTBgSkNMUb', 'TJPdcmWdoHtrnM7J9qUHxYeKYjPktk4naY']"
69,12424,8therBank,eth,risk,2020-06-05,['0xc6e5e9c6f4f3d1667df6086e91637cc7c64a13eb']
70,1381,333 EOS,eos,risk,2020-06-05,['eos2betprime']
